feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
2.0,0.7567567567567568,0.73109243697479,0.14159292035398233,0.38923322117938725,0.35843981170141226,0.1865,0.3455,0.0,0.0,1.0,0.32142857142857145
2.0,0.6824324324324325,0.6302521008403361,0.11061946902654868,0.3221179387285284,0.2992602555480834,0.2075,0.121,0.0,0.0,1.0,0.32142857142857145
1.0,0.5878378378378378,0.5882352941176472,0.10619469026548674,0.2153355764122543,0.15332885003362473,0.131,0.235,0.0,1.0,0.0,0.35714285714285715
1.0,0.6689189189189189,0.6470588235294118,0.11504424778761063,0.2707632371170533,0.2326832548755884,0.1785,0.202,0.0,1.0,0.0,0.32142857142857145
0.0,0.6891891891891893,0.6554621848739496,0.12389380530973454,0.3226491942624402,0.28883658372562204,0.2205,0.253,1.0,0.0,0.0,0.32142857142857145
0.0,0.722972972972973,0.7394957983193278,0.14601769911504428,0.3830352399504161,0.30363147276395425,0.273,0.317,1.0,0.0,0.0,0.2857142857142857
1.0,0.6959459459459459,0.680672268907563,0.11061946902654868,0.2666902780237294,0.22394082044384667,0.15,0.238,0.0,1.0,0.0,0.2857142857142857
0.0,0.8243243243243245,0.7899159663865547,0.15486725663716813,0.6049229679475827,0.3634835238735709,0.309,0.58,1.0,0.0,0.0,0.5357142857142857
2.0,0.7702702702702704,0.7478991596638656,0.17256637168141595,0.49548432796174957,0.41392064559515807,0.3515,0.3725,0.0,0.0,1.0,0.32142857142857145
0.0,0.7972972972972974,0.8151260504201682,0.17256637168141595,0.6240481671684079,0.5712844653665098,0.3615,0.47,1.0,0.0,0.0,0.35714285714285715
0.0,0.7162162162162162,0.7226890756302521,0.14601769911504428,0.3571808039667079,0.29186281102891726,0.209,0.3,1.0,0.0,0.0,0.6428571428571429
1.0,0.33783783783783783,0.3277310924369748,0.04867256637168142,0.05808393837435807,0.05043712172158708,0.051,0.045,0.0,1.0,0.0,0.14285714285714285
2.0,0.6486486486486487,0.5798319327731093,0.11504424778761063,0.24986718611652203,0.22259583053127102,0.1585,0.18,0.0,0.0,1.0,0.21428571428571427
0.0,0.5945945945945946,0.6050420168067226,0.11504424778761063,0.2698778112272003,0.18493611297915266,0.196,0.25,1.0,0.0,0.0,0.42857142857142855
0.0,0.7162162162162162,0.7478991596638656,0.16371681415929204,0.39543120240835844,0.3147276395427034,0.2585,0.335,1.0,0.0,0.0,0.2857142857142857
1.0,0.6013513513513513,0.6050420168067226,0.12389380530973454,0.22542943155657869,0.19737726967047745,0.1405,0.171,0.0,1.0,0.0,0.25
0.0,0.7837837837837839,0.773109243697479,0.1504424778761062,0.5401097928103418,0.5699394754539341,0.2635,0.331,1.0,0.0,0.0,0.35714285714285715
2.0,0.4662162162162162,0.47899159663865554,0.11061946902654868,0.15849123428369044,0.11028917283120376,0.1125,0.144,0.0,0.0,1.0,0.35714285714285715
0.0,0.6891891891891893,0.6638655462184875,0.12831858407079647,0.34761820435629537,0.32515131136516473,0.242,0.22,1.0,0.0,0.0,0.2857142857142857
0.0,0.7432432432432433,0.773109243697479,0.13716814159292037,0.41136886842571274,0.3271687962340282,0.259,0.355,1.0,0.0,0.0,0.35714285714285715
0.0,0.6959459459459459,0.6470588235294118,0.12389380530973454,0.3559412077209137,0.32044384667114995,0.2105,0.2925,1.0,0.0,0.0,0.2857142857142857
0.0,0.6013513513513513,0.5798319327731093,0.11504424778761063,0.2204710465734018,0.14391392064559513,0.2065,0.17,1.0,0.0,0.0,0.5
2.0,0.7837837837837839,0.8067226890756304,0.18141592920353983,0.5817248096334336,0.4905850706119704,0.3595,0.46,0.0,0.0,1.0,0.42857142857142855
2.0,0.8378378378378378,0.7983193277310925,0.168141592920354,0.610589693642642,0.5121049092131809,0.436,0.455,0.0,0.0,1.0,0.35714285714285715
0.0,0.6824324324324325,0.6218487394957983,0.13274336283185842,0.29821143970249686,0.2444519166106254,0.185,0.2705,1.0,0.0,0.0,0.2857142857142857
0.0,0.7094594594594595,0.7226890756302521,0.12831858407079647,0.2741278554984948,0.23772696704774712,0.1585,0.239,1.0,0.0,0.0,0.2857142857142857
1.0,0.16216216216216217,0.13445378151260506,0.03539823008849558,0.010802195856206835,0.008406186953597848,0.005,0.0095,0.0,1.0,0.0,0.10714285714285714
0.0,0.6013513513513513,0.5882352941176472,0.11061946902654868,0.22720028333628473,0.16173503698722258,0.1735,0.21,1.0,0.0,0.0,0.39285714285714285
2.0,0.5608108108108107,0.546218487394958,0.12389380530973454,0.26863821498140605,0.16408876933422997,0.167,0.185,0.0,0.0,1.0,0.32142857142857145
0.0,0.7500000000000001,0.7563025210084034,0.17256637168141595,0.4618381441473349,0.34633490248823134,0.3305,0.375,1.0,0.0,0.0,0.2857142857142857
2.0,0.5540540540540541,0.5630252100840337,0.10619469026548674,0.211439702496901,0.16812373907195696,0.1345,0.169,0.0,0.0,1.0,0.25
2.0,0.6013513513513513,0.546218487394958,0.11946902654867259,0.20559589162387107,0.16778749159381304,0.1565,0.175,0.0,0.0,1.0,0.25
0.0,0.7972972972972974,0.8655462184873949,0.16371681415929204,0.5383389410306357,0.46772024209818425,0.3025,0.405,1.0,0.0,0.0,0.42857142857142855
0.0,0.891891891891892,0.857142857142857,0.19911504424778764,0.7207366743403577,0.5843981170141224,0.5145,0.5675,1.0,0.0,0.0,0.42857142857142855
2.0,0.6756756756756757,0.6974789915966386,0.14601769911504428,0.30139897290596773,0.19569603227975788,0.179,0.35,0.0,0.0,1.0,0.5357142857142857
2.0,0.3310810810810811,0.31092436974789917,0.0752212389380531,0.0595006197981229,0.04337592468056489,0.047,0.049,0.0,0.0,1.0,0.21428571428571427
1.0,0.445945945945946,0.4285714285714286,0.07964601769911504,0.10979281034177439,0.09213180901143242,0.06,0.087,0.0,1.0,0.0,0.25
2.0,0.6689189189189189,0.6722689075630253,0.13274336283185842,0.339295200991677,0.25958305312710156,0.2385,0.275,0.0,0.0,1.0,0.35714285714285715
0.0,0.7567567567567568,0.7478991596638656,0.15486725663716813,0.5224012750132814,0.4593140551445864,0.3005,0.39,1.0,0.0,0.0,0.39285714285714285
2.0,0.8581081081081081,0.857142857142857,0.1769911504424779,0.5663183991499912,0.47410894418291855,0.321,0.45,0.0,0.0,1.0,0.35714285714285715
0.0,0.6013513513513513,0.6218487394957983,0.13274336283185842,0.2872321586683194,0.25823806321452586,0.2015,0.23,1.0,0.0,0.0,0.32142857142857145
2.0,0.641891891891892,0.6470588235294118,0.13716814159292037,0.32353462015229323,0.2444519166106254,0.195,0.25,0.0,0.0,1.0,0.25
0.0,0.7770270270270271,0.823529411764706,0.16371681415929204,0.5324951301576059,0.44082044384667113,0.341,0.43,1.0,0.0,0.0,0.32142857142857145
2.0,0.37837837837837834,0.35294117647058826,0.0752212389380531,0.07047990083230034,0.04572965702757229,0.053,0.0695,0.0,0.0,1.0,0.25
2.0,0.47297297297297297,0.45378151260504207,0.08849557522123895,0.11599079157074553,0.09112306657700067,0.0725,0.11,0.0,0.0,1.0,0.21428571428571427
0.0,0.7432432432432433,0.7478991596638656,0.13274336283185842,0.3368160085000885,0.23100201748486882,0.2235,0.305,1.0,0.0,0.0,0.5
2.0,0.5675675675675675,0.5798319327731093,0.10619469026548674,0.23322117938728526,0.17451244115669132,0.161,0.19,0.0,0.0,1.0,0.5
1.0,0.5405405405405405,0.5042016806722689,0.08849557522123895,0.17761643350451564,0.16980497646267653,0.091,0.14,0.0,1.0,0.0,0.25
0.0,0.7567567567567568,0.7394957983193278,0.15486725663716813,0.4281919603329201,0.4747814391392064,0.2725,0.323,1.0,0.0,0.0,0.2857142857142857
1.0,0.5743243243243243,0.5294117647058824,0.10619469026548674,0.19213741809810517,0.1667787491593813,0.1065,0.152,0.0,1.0,0.0,0.25
0.0,0.7364864864864865,0.6974789915966386,0.12389380530973454,0.36497255179741456,0.24176193678547409,0.224,0.36,1.0,0.0,0.0,0.5
2.0,0.6959459459459459,0.689075630252101,0.12389380530973454,0.36975385160262086,0.3150638870208473,0.263,0.263,0.0,0.0,1.0,0.21428571428571427
2.0,0.21621621621621617,0.19327731092436978,0.04867256637168142,0.01753143261908978,0.011432414256893071,0.0105,0.0195,0.0,0.0,1.0,0.21428571428571427
2.0,0.6756756756756757,0.6974789915966386,0.16371681415929204,0.3481494598902072,0.25117686617350365,0.2175,0.355,0.0,0.0,1.0,0.32142857142857145
0.0,0.7567567567567568,0.7478991596638656,0.13274336283185842,0.4866300690632194,0.4361129791526563,0.361,0.31,1.0,0.0,0.0,0.32142857142857145
0.0,0.5,0.4705882352941177,0.12389380530973454,0.1609704267752789,0.11936785474108942,0.114,0.14,1.0,0.0,0.0,0.35714285714285715
0.0,0.6891891891891893,0.689075630252101,0.1504424778761062,0.35045156720382503,0.25924680564895763,0.224,0.265,1.0,0.0,0.0,0.39285714285714285
0.0,0.7500000000000001,0.7478991596638656,0.13716814159292037,0.3552328670090313,0.24613315400134497,0.199,0.36,1.0,0.0,0.0,0.5357142857142857
2.0,0.5743243243243243,0.5966386554621849,0.13274336283185842,0.2337524349211971,0.18863483523873567,0.137,0.22,0.0,0.0,1.0,0.35714285714285715
0.0,0.722972972972973,0.7226890756302521,0.1592920353982301,0.45245262971489286,0.3850033624747814,0.2855,0.355,1.0,0.0,0.0,0.21428571428571427
1.0,0.35135135135135137,0.3445378151260505,0.08849557522123895,0.06729236762882947,0.05211835911230665,0.0585,0.07,0.0,1.0,0.0,0.25
2.0,0.6959459459459459,0.6974789915966386,0.1592920353982301,0.41969187179033113,0.40181573638197715,0.227,0.31,0.0,0.0,1.0,0.2857142857142857
1.0,0.3716216216216216,0.3277310924369748,0.06194690265486727,0.05613600141668142,0.047410894418291855,0.0335,0.046,0.0,1.0,0.0,0.17857142857142858
1.0,0.5337837837837838,0.5042016806722689,0.1592920353982301,0.16929343013989728,0.13752521856086078,0.105,0.1505,0.0,1.0,0.0,0.25
0.0,0.7702702702702704,0.7563025210084034,0.14601769911504428,0.46608818841862937,0.3691997310020175,0.3015,0.335,1.0,0.0,0.0,0.35714285714285715
1.0,0.5945945945945946,0.5546218487394958,0.11061946902654868,0.20187710288648839,0.15870880968392737,0.1435,0.165,0.0,1.0,0.0,0.21428571428571427
1.0,0.37837837837837834,0.3781512605042018,0.08849557522123895,0.07986541526474233,0.06220578345662407,0.0455,0.085,0.0,1.0,0.0,0.35714285714285715
1.0,0.24324324324324323,0.22689075630252103,0.05309734513274337,0.029750309899061446,0.026227303295225286,0.0185,0.025,0.0,1.0,0.0,0.14285714285714285
1.0,0.5608108108108107,0.5546218487394958,0.10619469026548674,0.20860633964937134,0.18157363819771352,0.1125,0.1775,0.0,1.0,0.0,0.2857142857142857
0.0,0.7364864864864865,0.7647058823529412,0.15486725663716813,0.44926509651142194,0.3634835238735709,0.323,0.3225,1.0,0.0,0.0,0.2857142857142857
0.0,0.581081081081081,0.5630252100840337,0.15486725663716813,0.2443775455994333,0.1788836583725622,0.15,0.215,1.0,0.0,0.0,0.39285714285714285
0.0,0.8513513513513513,0.8067226890756304,0.1946902654867257,0.6601735434744112,0.6240753194351042,0.3835,0.4395,1.0,0.0,0.0,0.32142857142857145
2.0,0.41216216216216217,0.3949579831932773,0.10619469026548674,0.09952187001947936,0.07834566240753194,0.0655,0.085,0.0,0.0,1.0,0.2857142857142857
2.0,0.6554054054054055,0.6134453781512605,0.17256637168141595,0.28563839206658403,0.20275722932078008,0.1795,0.285,0.0,0.0,1.0,0.4642857142857143
2.0,0.7972972972972974,0.7563025210084034,0.14159292035398233,0.4558172480963343,0.41257565568258237,0.253,0.3665,0.0,0.0,1.0,0.35714285714285715
0.0,0.6216216216216216,0.6050420168067226,0.1504424778761062,0.31060740216043914,0.19771351714862137,0.1965,0.285,1.0,0.0,0.0,0.32142857142857145
2.0,0.7770270270270271,0.7647058823529412,0.13716814159292037,0.4976093500973968,0.48453261600537995,0.298,0.335,0.0,0.0,1.0,0.2857142857142857
2.0,0.4189189189189189,0.36974789915966394,0.1017699115044248,0.09438639985833186,0.06489576328177539,0.0825,0.085,0.0,0.0,1.0,0.25
1.0,0.6486486486486487,0.6302521008403361,0.11061946902654868,0.24738799362493358,0.22763954270342973,0.1355,0.2095,0.0,1.0,0.0,0.25
1.0,0.6013513513513513,0.5714285714285715,0.11946902654867259,0.22348149459890207,0.20006724949562876,0.1295,0.175,0.0,1.0,0.0,0.2857142857142857
1.0,0.4054054054054054,0.3949579831932773,0.08849557522123895,0.07685496723924207,0.06153328850033624,0.038,0.075,0.0,1.0,0.0,0.17857142857142858
0.0,0.8175675675675677,0.8823529411764705,0.1769911504424779,0.6321940853550557,0.3927370544720914,0.453,0.6,1.0,0.0,0.0,0.6428571428571429
0.0,0.6554054054054055,0.6134453781512605,0.1592920353982301,0.5888082167522578,0.5208473436449226,0.35,0.4525,1.0,0.0,0.0,0.2857142857142857
