Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,RMSE,0.0843,0.0040,273,"{""lr"": 0.016822989342656008, ""hidden_sizes"": [16, 4, 8], ""batch_size"": 64, ""activation"": ""relu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,RMSE,0.1138,0.0498,637,"{""lr"": 0.039259315361574565, ""hidden_sizes"": [8, 32, 8], ""batch_size"": 16, ""activation"": ""relu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_blog_feedback,regression,RMSE,0.1304,0.0005,18597,"{""lr"": 0.0013330643817877476, ""hidden_sizes"": [64, 8, 8], ""batch_size"": 32, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,RMSE,0.1642,0.0558,885,"{""lr"": 0.057460179389795536, ""hidden_sizes"": [32, 8, 16], ""batch_size"": 32, ""activation"": ""relu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.3137,0.0063,233,"{""lr"": 0.09635875635585657, ""hidden_sizes"": [16, 4, 4], ""batch_size"": 64, ""activation"": ""relu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,RMSE,0.1969,0.0048,3341,"{""lr"": 0.07466101583771162, ""hidden_sizes"": [32, 64, 16], ""batch_size"": 64, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,RMSE,0.0669,0.0057,153,"{""lr"": 0.03195511810225223, ""hidden_sizes"": [4, 8, 8], ""batch_size"": 32, ""activation"": ""relu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.2276,0.0621,3261,"{""lr"": 0.03605622032031891, ""hidden_sizes"": [64, 32, 8], ""batch_size"": 128, ""activation"": ""relu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,RMSE,0.1573,0.0122,1181,"{""lr"": 0.09651682507769677, ""hidden_sizes"": [16, 32, 16], ""batch_size"": 64, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,RMSE,0.2117,0.0078,762,"{""lr"": 0.014255140706223898, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_loan,classification,Error Rate,0.3504,0.0010,813,"{""lr"": 0.044445080701189625, ""hidden_sizes"": [4, 8, 64], ""batch_size"": 64, ""activation"": ""elu"", ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
