Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumofParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,RMSE,0.0772,0.0026,1377,"{""lr"": 0.005098211673288912, ""hidden_sizes"": [32, 32], ""batch_size"": 32, ""lipschitz_constant"": 0.5116935249120268, ""epochs"": 100}",0.8370,0.0910,0.9457,0.0091,0.9667,0.0028
load_auto_mpg,regression,RMSE,0.0734,0.0047,529,"{""lr"": 0.03780678096304901, ""hidden_sizes"": [32, 8], ""batch_size"": 32, ""lipschitz_constant"": 0.5180320940958676, ""epochs"": 100}",0.9212,0.0791,0.7790,0.2991,1.0000,0.0000
load_blog_feedback,regression,RMSE,0.1407,0.0016,11169,"{""lr"": 0.0011404616191471408, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""lipschitz_constant"": 0.5236409750900289, ""epochs"": 100}",0.3388,0.1036,0.3888,0.0578,0.3520,0.0747
load_boston_housing,regression,RMSE,0.0679,0.0086,1425,"{""lr"": 0.03433980438684702, ""hidden_sizes"": [64, 8], ""batch_size"": 16, ""lipschitz_constant"": 0.504140812086803, ""epochs"": 100}",0.0653,0.0368,0.0059,0.0079,0.0535,0.0537
load_compas,classification,Error Rate,0.6047,0.0100,4737,"{""lr"": 0.00110018626151113, ""hidden_sizes"": [64, 64], ""batch_size"": 128, ""lipschitz_constant"": 1.8433649413517854, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,RMSE,0.1971,0.0055,225,"{""lr"": 0.0010444329780076149, ""hidden_sizes"": [16, 8], ""batch_size"": 16, ""lipschitz_constant"": 0.9652414798713355, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,RMSE,0.0668,0.0068,1233,"{""lr"": 0.0983297658988673, ""hidden_sizes"": [16, 64], ""batch_size"": 32, ""lipschitz_constant"": 0.6076674481705845, ""epochs"": 100}",0.0000,0.0000,0.8106,0.3080,1.0000,0.0000
load_heart,classification,Error Rate,0.9868,0.0124,993,"{""lr"": 0.007592177703141693, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""lipschitz_constant"": 0.754395323261245, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,RMSE,0.1579,0.0118,369,"{""lr"": 0.029268735980005692, ""hidden_sizes"": [16, 16], ""batch_size"": 128, ""lipschitz_constant"": 0.5532373048097876, ""epochs"": 100}",0.0000,0.0000,0.2320,0.1460,0.7470,0.3011
load_swd,regression,RMSE,0.2092,0.0070,321,"{""lr"": 0.06234261290570921, ""hidden_sizes"": [16, 8], ""batch_size"": 64, ""lipschitz_constant"": 0.5053163107318526, ""epochs"": 100}",0.8280,0.0890,0.7900,0.3656,1.0000,0.0000
load_loan,classification,Error Rate,0.6019,0.0017,3137,"{""lr"": 0.001036214922973511, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""lipschitz_constant"": 1.244243840530215, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000

load_compas,classification,Error Rate,0.6243,0.0085,1345,"{""lr"": 0.00104130630176548, ""hidden_sizes"": [32, 32], ""batch_size"": 32, ""lipschitz_constant"": 1.9888404971437823, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.9339,0.0153,193,"{""lr"": 0.007603045898301846, ""hidden_sizes"": [8, 8], ""batch_size"": 128, ""lipschitz_constant"": 1.1090782079503259, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_loan,classification,Error Rate,0.5951,0.0027,321,"{""lr"": 0.0010021846841290866, ""hidden_sizes"": [8, 8], ""batch_size"": 128, ""lipschitz_constant"": 0.7817238595351877, ""epochs"": 100}",0.9774,0.0452,0.9798,0.0325,0.9834,0.0241
