Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumofParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,RMSE,0.0815,0.0028,289,"{""lr"": 0.03490690773698263, ""hidden_sizes"": [16, 8], ""batch_size"": 16, ""epochs"": 100}",0.0388,0.0626,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,RMSE,0.0760,0.0051,4737,"{""lr"": 0.09895927882144229, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_blog_feedback,regression,RMSE,0.1406,0.0012,2889,"{""lr"": 0.0017993660770609114, ""hidden_sizes"": [8, 64], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,RMSE,0.0666,0.0122,3009,"{""lr"": 0.05171050055862192, ""hidden_sizes"": [64, 32], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.6056,0.0147,225,"{""lr"": 0.003332432592818908, ""hidden_sizes"": [8, 16], ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,RMSE,0.1967,0.0047,225,"{""lr"": 0.025168094001824844, ""hidden_sizes"": [16, 8], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,RMSE,0.0671,0.0076,225,"{""lr"": 0.012838784736283153, ""hidden_sizes"": [16, 8], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.4462,0.1605,993,"{""lr"": 0.0015923854513258484, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,RMSE,0.1580,0.0119,369,"{""lr"": 0.07153405314036845, ""hidden_sizes"": [16, 16], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,RMSE,0.2099,0.0069,169,"{""lr"": 0.06659464503805257, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_loan,classification,Error Rate,0.5984,0.0026,1505,"{""lr"": 0.001027761666724765, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000

load_compas,classification,Error Rate,0.3380,0.0105,385,"{""lr"": 0.0014737534850960633, ""hidden_sizes"": [8, 32], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1783,0.0471,993,"{""lr"": 0.04211562423435805, ""hidden_sizes"": [32, 16], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_loan,classification,Error Rate,0.3541,0.0011,4033,"{""lr"": 0.045561312784179034, ""hidden_sizes"": [64, 32], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
