Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std,NumofParameters
load_abalone,regression,RMSE,0.1152,0.0040,433,"{""lr"": 0.027234039069668894, ""hidden_sizes"": [16, 16], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,RMSE,1.2876,0.1556,385,"{""lr"": 0.0776593187106001, ""hidden_sizes"": [8, 32], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_blog_feedback,regression,RMSE,0.1549,0.0000,5073,"{""lr"": 0.002872655488940588, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,RMSE,0.3842,0.0926,193,"{""lr"": 0.09722119404816161, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.4136,0.0422,225,"{""lr"": 0.01230613844308392, ""hidden_sizes"": [8, 16], ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,RMSE,0.3196,0.0069,369,"{""lr"": 0.08305023666279503, ""hidden_sizes"": [16, 16], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,RMSE,0.1790,0.0094,121,"{""lr"": 0.08401151688532452, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.7261,0.0268,3009,"{""lr"": 0.005237557770245317, ""hidden_sizes"": [64, 32], ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,RMSE,0.2380,0.0133,121,"{""lr"": 0.0546056837751587, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,RMSE,0.2744,0.0107,169,"{""lr"": 0.08826805743172532, ""hidden_sizes"": [8, 8], ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_loan,classification,Error Rate,0.5000,0.0022,881,"{""lr"": 0.05450606692300859, ""hidden_sizes"": [8, 64], ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
