Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_era,regression,RMSE,0.1967,0.0056,657,"{""lr"": 0.01713345335892019, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.3250,0.0575,0.9250,0.0805,0.9875,0.0250
load_era,regression,RMSE,0.1972,0.0054,657,"{""lr"": 0.008601287021080038, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.3450,0.0560,0.9437,0.0750,0.9563,0.0729
load_era,regression,RMSE,0.1972,0.0056,657,"{""lr"": 0.008283829807485439, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 100.0}",0.2740,0.0732,0.8875,0.0940,0.9062,0.1186
load_era,regression,RMSE,0.2142,0.0236,657,"{""lr"": 0.09713138604645953, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 1000.0}",0.1350,0.1671,0.5188,0.4219,0.6250,0.4280
load_era,regression,RMSE,0.2416,0.0711,657,"{""lr"": 0.06252476912180657, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 10000.0}",0.2210,0.2393,0.6000,0.4899,0.6000,0.4899
load_esl,regression,RMSE,0.0687,0.0086,2337,"{""lr"": 0.061901049355770066, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.3028,0.1318,1.0000,0.0000,1.0000,0.0000
load_esl,regression,RMSE,0.0678,0.0059,2337,"{""lr"": 0.0008498784720947869, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.1353,0.0795,0.0625,0.0648,0.0906,0.0990
load_esl,regression,RMSE,0.0741,0.0126,2337,"{""lr"": 0.010895281492350495, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 100.0}",0.2870,0.1021,0.8031,0.2448,0.9469,0.0986
load_esl,regression,RMSE,0.0695,0.0061,2337,"{""lr"": 0.0015604995757971868, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1000.0}",0.1739,0.1285,0.1156,0.0966,0.2125,0.1935
load_esl,regression,RMSE,0.0774,0.0154,2337,"{""lr"": 0.00042306855054765187, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10000.0}",0.4074,0.2593,0.3594,0.2099,0.3625,0.2651
load_heart,classification,Error Rate,0.1552,0.0453,993,"{""lr"": 0.0051068618665981325, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.1916,0.1226,0.2899,0.1304,0.4286,0.1226
load_heart,classification,Error Rate,0.1849,0.0463,993,"{""lr"": 0.0403164919895786, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.0660,0.0785,0.3736,0.2522,0.4631,0.2981
load_heart,classification,Error Rate,0.1685,0.0552,993,"{""lr"": 0.02934185821229215, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 100.0}",0.1417,0.1736,0.3361,0.2487,0.4092,0.2577
load_heart,classification,Error Rate,0.1717,0.0309,993,"{""lr"": 0.06617487806698637, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1000.0}",0.0557,0.0773,0.3877,0.3857,0.5103,0.3984
load_heart,classification,Error Rate,0.1717,0.0560,993,"{""lr"": 0.048423476990815735, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 10000.0}",0.0590,0.1180,0.1443,0.2804,0.1870,0.3493
load_lev,regression,RMSE,0.1594,0.0116,2337,"{""lr"": 0.0001195951320853844, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.0690,0.0566,0.0750,0.0919,0.0750,0.0468
load_lev,regression,RMSE,0.1611,0.0117,2337,"{""lr"": 0.0030133664678140917, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.3760,0.0585,0.8125,0.1250,0.9000,0.0637
load_lev,regression,RMSE,0.1591,0.0114,2337,"{""lr"": 0.0004511465437125682, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 100.0}",0.1060,0.0322,0.1875,0.1250,0.1250,0.1311
load_lev,regression,RMSE,0.1594,0.0104,2337,"{""lr"": 0.00033872960670277565, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1000.0}",0.1170,0.0301,0.2250,0.1016,0.1625,0.1159
load_lev,regression,RMSE,0.1597,0.0110,2337,"{""lr"": 0.0003833590783824176, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10000.0}",0.1000,0.0207,0.1125,0.0729,0.1500,0.0848
load_swd,regression,RMSE,0.2098,0.0078,2529,"{""lr"": 0.002632358834659546, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.8490,0.0480,0.9703,0.0374,1.0000,0.0000
load_swd,regression,RMSE,0.2097,0.0073,2529,"{""lr"": 0.0013228567495033165, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.7880,0.0842,0.9266,0.0330,0.9703,0.0286
load_swd,regression,RMSE,0.2467,0.0155,2529,"{""lr"": 0.00012225179141633183, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 100.0}",0.9310,0.0521,0.9609,0.0474,0.9578,0.0394
load_swd,regression,RMSE,0.2137,0.0062,2529,"{""lr"": 0.002527035306516598, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1000.0}",0.8290,0.0842,0.8344,0.1093,0.8578,0.1074
load_swd,regression,RMSE,0.2245,0.0105,2529,"{""lr"": 0.00040521965568067795, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 10000.0}",0.7110,0.0784,0.7797,0.0549,0.7891,0.0621
