Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumofParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,RMSE,3.1435,0.3526,714,"{""lr"": 0.0034154349369514836, ""mono_hidden_sizes"": [8], ""non_mono_hidden_sizes"": [8, 8], ""combined_hidden_sizes"": [16, 8], ""p"": 0.23235812095396258, ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,RMSE,5.7843,1.1398,802,"{""lr"": 0.019316517413734767, ""mono_hidden_sizes"": [8], ""non_mono_hidden_sizes"": [32, 8], ""combined_hidden_sizes"": [8, 16], ""p"": 0.7689171483523443, ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_blog_feedback,regression,RMSE,1.0881,1.2541,13250,"{""lr"": 0.001, ""mono_hidden_sizes"": [32], ""non_mono_hidden_sizes"": [32], ""combined_hidden_sizes"": [32], ""p"": 0.1, ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,RMSE,27.6443,5.1911,5298,"{""lr"": 0.016795293345397595, ""mono_hidden_sizes"": [16], ""non_mono_hidden_sizes"": [64, 32], ""combined_hidden_sizes"": [16, 16], ""p"": 0.4906140939526145, ""batch_size"": 32, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.5449,0.0089,8674,"{""lr"": 0.005464613975735536, ""mono_hidden_sizes"": [32], ""non_mono_hidden_sizes"": [32], ""combined_hidden_sizes"": [64, 32], ""p"": 0.3309548520858919, ""batch_size"": 16, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,RMSE,2.9429,0.4679,1690,"{""lr"": 0.08594788882629627, ""mono_hidden_sizes"": [8], ""non_mono_hidden_sizes"": [32], ""combined_hidden_sizes"": [8, 16], ""p"": 0.1048892247970124, ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,RMSE,4.0693,1.2471,1186,"{""lr"": 0.013599021833329743, ""mono_hidden_sizes"": [8], ""non_mono_hidden_sizes"": [64, 8], ""combined_hidden_sizes"": [16, 8], ""p"": 0.42988008942316075, ""batch_size"": 64, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.7261,0.0268,3218,"{""lr"": 0.062418985433989355, ""mono_hidden_sizes"": [8], ""non_mono_hidden_sizes"": [16], ""combined_hidden_sizes"": [64, 16], ""p"": 0.8999796326642515, ""batch_size"": 64, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,RMSE,2.3210,0.2952,7082,"{""lr"": 0.013709585059194623, ""mono_hidden_sizes"": [8], ""non_mono_hidden_sizes"": [32, 64], ""combined_hidden_sizes"": [8, 8], ""p"": 0.2993463337790619, ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,RMSE,14.7570,2.0285,1546,"{""lr"": 0.028747496269009, ""mono_hidden_sizes"": [8], ""non_mono_hidden_sizes"": [16], ""combined_hidden_sizes"": [32, 8], ""p"": 0.6316297678472134, ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_loan,classification,Error Rate,0.5000,0.0022,16754,"{""lr"": 0.03639313750589042, ""mono_hidden_sizes"": [64, 16], ""non_mono_hidden_sizes"": [16, 64], ""combined_hidden_sizes"": [64, 64], ""p"": 0.9709543123760951, ""batch_size"": 128, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
