Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_era,regression,RMSE,0.1964,0.0052,657,"{""lr"": 0.007716980789858099, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.0}",0.3150,0.0778,0.8750,0.1186,0.9000,0.1142
load_era,regression,RMSE,0.1965,0.0053,657,"{""lr"": 0.016194122070531176, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.0}",0.2510,0.1394,1.0000,0.0000,1.0000,0.0000
load_era,regression,RMSE,0.2050,0.0198,657,"{""lr"": 0.06859727896040485, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.0}",0.2130,0.1156,0.7750,0.3905,0.8000,0.4000
load_era,regression,RMSE,0.2035,0.0137,657,"{""lr"": 0.012920263692113874, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.0}",0.3130,0.0350,0.6188,0.2572,0.6000,0.3220
load_era,regression,RMSE,0.1966,0.0056,657,"{""lr"": 0.005565747533803063, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 10000.0, ""offset"": 0.0}",0.2200,0.0952,0.3500,0.2132,0.4062,0.2262
load_esl,regression,RMSE,0.0684,0.0048,2337,"{""lr"": 0.024305059528973667, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.0}",0.1863,0.1077,1.0000,0.0000,1.0000,0.0000
load_esl,regression,RMSE,0.0729,0.0100,2337,"{""lr"": 0.0008319372923835623, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.0}",0.2148,0.1047,0.1375,0.0651,0.1375,0.0680
load_esl,regression,RMSE,0.0681,0.0051,2337,"{""lr"": 0.011541774559629759, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.0}",0.2524,0.1025,0.5813,0.4111,0.6781,0.3979
load_esl,regression,RMSE,0.0689,0.0074,2337,"{""lr"": 0.00384989563061144, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.0}",0.2808,0.0723,0.2875,0.2012,0.5406,0.3112
load_esl,regression,RMSE,0.0679,0.0058,2337,"{""lr"": 0.002062551743238784, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10000.0, ""offset"": 0.0}",0.2026,0.0948,0.1437,0.1963,0.2281,0.3558
load_heart,classification,Error Rate,0.1619,0.0520,993,"{""lr"": 0.021446239929176162, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.0}",0.3208,0.1770,0.5164,0.2976,0.5786,0.3182
load_heart,classification,Error Rate,0.1914,0.0494,993,"{""lr"": 0.04800956668082685, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.0}",0.1330,0.2202,0.2482,0.3081,0.2811,0.3395
load_heart,classification,Error Rate,0.1585,0.0477,993,"{""lr"": 0.027337611687597674, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.0}",0.0561,0.0435,0.2661,0.2587,0.2793,0.2673
load_heart,classification,Error Rate,0.1585,0.0412,993,"{""lr"": 0.05676328466538226, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.0}",0.0493,0.0374,0.1885,0.2092,0.1687,0.1855
load_heart,classification,Error Rate,0.2274,0.0785,993,"{""lr"": 0.0035479936306390516, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 10000.0, ""offset"": 0.0}",0.0860,0.0987,0.0660,0.0554,0.0762,0.0656
load_lev,regression,RMSE,0.1609,0.0124,2337,"{""lr"": 0.00010709189659598053, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.0}",0.1350,0.1365,0.1375,0.1551,0.1750,0.1447
load_lev,regression,RMSE,0.1615,0.0115,2337,"{""lr"": 0.00019550508601308926, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.0}",0.1850,0.1370,0.2000,0.1741,0.1500,0.0848
load_lev,regression,RMSE,0.1602,0.0122,2337,"{""lr"": 0.0007659797185797666, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.0}",0.1210,0.0830,0.2000,0.1212,0.2250,0.1225
load_lev,regression,RMSE,0.1605,0.0117,2337,"{""lr"": 0.0004371943493901435, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.0}",0.1290,0.0534,0.1500,0.1090,0.1875,0.1046
load_lev,regression,RMSE,0.1606,0.0116,2337,"{""lr"": 0.00043264832470570714, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10000.0, ""offset"": 0.0}",0.1370,0.0541,0.1000,0.0637,0.1875,0.1046
load_swd,regression,RMSE,0.2103,0.0066,2529,"{""lr"": 0.009455361596854795, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.0}",0.8750,0.0636,0.9984,0.0031,1.0000,0.0000
load_swd,regression,RMSE,0.2119,0.0067,2529,"{""lr"": 0.003517202180319755, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.0}",0.7940,0.0871,0.9109,0.0630,0.9359,0.0758
load_swd,regression,RMSE,0.2281,0.0321,2529,"{""lr"": 0.0047307062096009905, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.0}",0.7310,0.2069,0.7828,0.1440,0.8469,0.1126
load_swd,regression,RMSE,0.2266,0.0260,2529,"{""lr"": 0.005082517552421693, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.0}",0.7400,0.1680,0.7406,0.1133,0.7906,0.0946
