Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,RMSE,0.0750,0.0023,713,"{""lr"": 0.04428367403666013, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 0.1}",0.9198,0.1113,1.0000,0.0000,1.0000,0.0000
load_abalone,regression,RMSE,0.0769,0.0023,713,"{""lr"": 0.04428367403666013, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 0.5}",0.8961,0.1008,1.0000,0.0000,1.0000,0.0000
load_abalone,regression,RMSE,0.0796,0.0037,713,"{""lr"": 0.04428367403666013, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.7240,0.1261,1.0000,0.0000,1.0000,0.0000
load_abalone,regression,RMSE,0.0986,0.0086,713,"{""lr"": 0.04428367403666013, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 5.0}",0.5192,0.3154,0.7438,0.3762,0.9688,0.0625
load_abalone,regression,RMSE,0.0993,0.0085,713,"{""lr"": 0.04428367403666013, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.2960,0.3393,0.7719,0.3875,0.8000,0.4000
load_auto_mpg,regression,RMSE,0.0734,0.0043,2433,"{""lr"": 0.09811656676228442, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 0.1}",0.9541,0.0223,1.0000,0.0000,1.0000,0.0000
load_auto_mpg,regression,RMSE,0.0738,0.0058,2433,"{""lr"": 0.09811656676228442, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 0.5}",0.9289,0.0852,0.8375,0.3250,0.9875,0.0250
load_auto_mpg,regression,RMSE,0.0764,0.0071,2433,"{""lr"": 0.09811656676228442, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.9568,0.0364,0.9625,0.0750,0.8000,0.4000
load_auto_mpg,regression,RMSE,0.1059,0.0446,2433,"{""lr"": 0.09811656676228442, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 5.0}",0.6833,0.3056,1.0000,0.0000,1.0000,0.0000
load_auto_mpg,regression,RMSE,0.1547,0.0623,2433,"{""lr"": 0.09811656676228442, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.4521,0.2448,1.0000,0.0000,1.0000,0.0000
load_blog_feedback,regression,RMSE,0.1378,0.0027,4785,"{""lr"": 0.020918413149522606, ""hidden_sizes"": [16, 16], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 0.1}",0.5806,0.2699,0.7375,0.3410,0.8250,0.2889
load_blog_feedback,regression,RMSE,0.1362,0.0023,4785,"{""lr"": 0.020918413149522606, ""hidden_sizes"": [16, 16], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 0.5}",0.5588,0.3032,0.4875,0.3841,0.6500,0.3482
load_blog_feedback,regression,RMSE,0.1345,0.0034,4785,"{""lr"": 0.020918413149522606, ""hidden_sizes"": [16, 16], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.5490,0.1464,0.4625,0.3437,0.4875,0.4191
load_blog_feedback,regression,RMSE,0.1358,0.0060,4785,"{""lr"": 0.020918413149522606, ""hidden_sizes"": [16, 16], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 5.0}",0.2668,0.3775,0.8750,0.1581,0.8000,0.3387
load_blog_feedback,regression,RMSE,0.1435,0.0099,4785,"{""lr"": 0.020918413149522606, ""hidden_sizes"": [16, 16], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.4004,0.3329,0.4875,0.3566,0.5375,0.2456
load_boston_housing,regression,RMSE,0.0699,0.0099,5121,"{""lr"": 0.0013983973589903281, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 0.1}",0.1663,0.1645,0.2500,0.1531,0.3750,0.2129
load_boston_housing,regression,RMSE,0.0705,0.0101,5121,"{""lr"": 0.0013983973589903281, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 0.5}",0.1228,0.0981,0.2875,0.1961,0.4125,0.1920
load_boston_housing,regression,RMSE,0.0706,0.0087,5121,"{""lr"": 0.0013983973589903281, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.1030,0.0537,0.2750,0.1346,0.4500,0.2069
load_boston_housing,regression,RMSE,0.0724,0.0069,5121,"{""lr"": 0.0013983973589903281, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 5.0}",0.0614,0.0431,0.1625,0.1159,0.2500,0.1369
load_boston_housing,regression,RMSE,0.0739,0.0044,5121,"{""lr"": 0.0013983973589903281, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.0752,0.0537,0.1250,0.1046,0.2500,0.1425
load_compas,classification,Error Rate,0.3138,0.0068,705,"{""lr"": 0.006741349738796535, ""hidden_sizes"": [8, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 0.1}",0.8596,0.1592,0.8812,0.1043,0.8578,0.1471
load_compas,classification,Error Rate,0.3127,0.0053,705,"{""lr"": 0.006741349738796535, ""hidden_sizes"": [8, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 0.5}",0.9596,0.0422,0.9078,0.1313,0.8500,0.1414
