Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_era,regression,RMSE,0.1967,0.0057,657,"{""lr"": 0.012642495960115595, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.2}",0.2740,0.1199,0.9875,0.0250,1.0000,0.0000
load_era,regression,RMSE,0.1968,0.0048,657,"{""lr"": 0.012000461164897685, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.2}",0.3300,0.1287,0.9938,0.0125,0.9875,0.0250
load_era,regression,RMSE,0.2081,0.0249,657,"{""lr"": 0.022322354371408476, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.2}",0.3130,0.1160,0.9938,0.0125,0.9938,0.0125
load_era,regression,RMSE,0.1967,0.0055,657,"{""lr"": 0.002953913960591939, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.2}",0.2690,0.0656,0.3000,0.1320,0.3438,0.1425
load_era,regression,RMSE,0.1967,0.0061,657,"{""lr"": 0.0031262629284505693, ""hidden_sizes"": [16, 32], ""batch_size"": 32, ""epochs"": 100, ""monotonicity_weight"": 10000.0, ""offset"": 0.2}",0.1920,0.0580,0.2625,0.1487,0.2875,0.1523
load_esl,regression,RMSE,0.0669,0.0061,2337,"{""lr"": 0.00254294070408841, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.2}",0.1578,0.0676,0.3656,0.2578,0.7000,0.2152
load_esl,regression,RMSE,0.0673,0.0062,2337,"{""lr"": 0.004064969666359716, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.2}",0.1659,0.1382,0.3781,0.3736,0.6344,0.2867
load_esl,regression,RMSE,0.0869,0.0377,2337,"{""lr"": 0.030307985677721878, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.2}",0.2435,0.1409,0.8500,0.3000,0.8562,0.2875
load_esl,regression,RMSE,0.0678,0.0059,2337,"{""lr"": 0.0073059273708819495, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.2}",0.1474,0.0990,0.3250,0.3518,0.7844,0.2892
load_esl,regression,RMSE,0.0689,0.0054,2337,"{""lr"": 0.003565319167464843, ""hidden_sizes"": [32, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10000.0, ""offset"": 0.2}",0.1458,0.0704,0.0594,0.0435,0.1125,0.0588
load_heart,classification,Error Rate,0.1714,0.0295,993,"{""lr"": 0.07650992387576709, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.2}",0.1248,0.1202,0.6261,0.2185,0.7908,0.1905
load_heart,classification,Error Rate,0.1849,0.0367,993,"{""lr"": 0.08337576858902412, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.2}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.2048,0.0420,993,"{""lr"": 0.05466615946882681, ""hidden_sizes"": [32, 16], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.2}",0.0164,0.0328,0.0000,0.0000,0.0000,0.0000
