Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,RMSE,0.0818,0.0034,433,"{""lr"": 0.045412097310503094, ""K"": 3, ""h_K"": 16, ""batch_size"": 16, ""beta"": 1.1427103075265652, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,RMSE,0.0810,0.0090,513,"{""lr"": 0.09974155920976033, ""K"": 2, ""h_K"": 32, ""batch_size"": 16, ""beta"": 1.325830823348586, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_blog_feedback,regression,RMSE,0.1474,0.0114,2249,"{""lr"": 0.08801515109105706, ""K"": 2, ""h_K"": 4, ""batch_size"": 32, ""beta"": 0.5416440845111461, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,RMSE,0.0689,0.0057,337,"{""lr"": 0.07496153588836574, ""K"": 6, ""h_K"": 4, ""batch_size"": 16, ""beta"": -0.7082986459248994, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,RMSE,0.1956,0.0051,1601,"{""lr"": 0.05283370651768472, ""K"": 5, ""h_K"": 64, ""batch_size"": 16, ""beta"": 1.0135527637061057, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,RMSE,0.0661,0.0056,81,"{""lr"": 0.093233302379944, ""K"": 4, ""h_K"": 4, ""batch_size"": 16, ""beta"": -0.11359454977918451, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,RMSE,0.1570,0.0121,401,"{""lr"": 0.009580931629980553, ""K"": 5, ""h_K"": 16, ""batch_size"": 16, ""beta"": -0.7930342108268129, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,RMSE,0.2103,0.0070,705,"{""lr"": 0.06894089309688917, ""K"": 4, ""h_K"": 16, ""batch_size"": 16, ""beta"": 0.24213345172047274, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.3161,0.0100,513,"{""lr"": 0.07445782946595238, ""K"": 2, ""h_K"": 32, ""batch_size"": 128, ""beta"": -0.3450537793050713, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1649,0.0475,1793,"{""lr"": 0.09114223214952386, ""K"": 4, ""h_K"": 32, ""batch_size"": 32, ""beta"": -1.9950816023338775, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_loan,classification,Error Rate,0.4700,0.0607,1441,"{""lr"": 0.03663675104922254, ""K"": 6, ""h_K"": 8, ""batch_size"": 16, ""beta"": -1.0839283136117053, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
