Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_abalone,regression,RMSE,0.0825,0.0032,602,"{""lr"": 0.022495375897329146, ""K"": 6, ""h_K"": 4, ""batch_size"": 128, ""aux_hidden_units"": 64, ""beta"": 0.36962312857701285, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_auto_mpg,regression,RMSE,0.0793,0.0028,2626,"{""lr"": 0.060376996495624606, ""K"": 5, ""h_K"": 64, ""batch_size"": 16, ""aux_hidden_units"": 32, ""beta"": -1.1065238095049654, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_blog_feedback,regression,RMSE,0.1665,0.0000,24218,"{""lr"": 0.04528785304220415, ""K"": 3, ""h_K"": 8, ""batch_size"": 32, ""aux_hidden_units"": 64, ""beta"": 1.310195751584164, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_boston_housing,regression,RMSE,0.0762,0.0075,586,"{""lr"": 0.050925235473093175, ""K"": 3, ""h_K"": 4, ""batch_size"": 32, ""aux_hidden_units"": 32, ""beta"": 1.1452362044642528, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_compas,classification,Error Rate,0.3169,0.0078,178,"{""lr"": 0.023474779610033695, ""K"": 3, ""h_K"": 4, ""batch_size"": 32, ""aux_hidden_units"": 16, ""beta"": -0.17305107208801296, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_era,regression,RMSE,0.1958,0.0052,770,"{""lr"": 0.05673364350685424, ""K"": 4, ""h_K"": 32, ""batch_size"": 16, ""aux_hidden_units"": 64, ""beta"": -1.7793435003925222, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_esl,regression,RMSE,0.0665,0.0059,98,"{""lr"": 0.06749692653414985, ""K"": 2, ""h_K"": 8, ""batch_size"": 32, ""aux_hidden_units"": 8, ""beta"": 0.17679367036748067, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_heart,classification,Error Rate,0.1684,0.0586,866,"{""lr"": 0.0683101570843877, ""K"": 2, ""h_K"": 16, ""batch_size"": 64, ""aux_hidden_units"": 32, ""beta"": -0.38888398378775824, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_lev,regression,RMSE,0.1570,0.0121,434,"{""lr"": 0.04081210148349168, ""K"": 5, ""h_K"": 16, ""batch_size"": 64, ""aux_hidden_units"": 16, ""beta"": -0.34886126674824114, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_swd,regression,RMSE,0.2079,0.0067,426,"{""lr"": 0.030978358318144633, ""K"": 3, ""h_K"": 8, ""batch_size"": 16, ""aux_hidden_units"": 32, ""beta"": 1.14876082067348, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load_loan,classification,Error Rate,0.5000,0.0022,810,"{""lr"": 0.06499062193540898, ""K"": 5, ""h_K"": 4, ""batch_size"": 16, ""aux_hidden_units"": 8, ""beta"": -1.3473416990038616, ""epochs"": 100}",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
